name,mp3
Why TBD's Mike Brock Is Skeptical That Decentralized Applications Will Become Popular,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.337_-_Why_TBDs_Mike_Brock_Is_Skeptical_That_Decentralized_Applications_Will_Become_Popular.mp3?dest-id=619174
Bridge Hacks Have Caused ~$1 Billion in Losses. Here’s Why Bridge Security Is Tricky,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.336_-_Bridge_Hacks_Have_Caused_-_1_Billion_in_Losses_-_Heres_Why_Bridge_Security_Is_Tricky.mp3?dest-id=619174
Do Kwon Is Backing UST With Bitcoin – And Here’s What Else He Is Building,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.335_--_Do_Kwon_Is_Backing_UST_With_Bitcoin__And_Heres_What_Else_He_Is_Building.mp3?dest-id=619174
Juno Holders Want to Confiscate a Whale’s Tokens. Here’s Why.,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.334_-_Juno_Holders_Want_to_Confiscate_a_Whales_Tokens._Heres_Why.mp3?dest-id=619174
The Chopping Block: Do Kwon Pitches a Decentralized NFT Publishing Service,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.333_-_The_Chopping_Block_-_Do_Kwon_Pitches_a_Decentralized_NFT_Publishing_Service.mp3?dest-id=619174
Ukraine Has Received $150 Million in Crypto. Here’s How It Is Being Used,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.332_--_Ukraine_Has_Received_150_Million_in_Crypto._Heres_How_It_Is_Being_Used.mp3?dest-id=619174
Punk6529 on the Significance of Bored Ape Yacht Club and CryptoPunks,https://traffic.libsyn.com/secure/unchained/Unchained_--_Ep.331_--_Punk6529_on_the_Significance_of_Bored_Ape_Yacht_Club_and_CryptoPunks.mp3?dest-id=619174
What Is It Like to Only Work for DAOs? Chase Chapman Tells All,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.330_-_What_Is_It_Like_to_Only_Work_for_DAOs_-_Chase_Chapman_Tells_All.mp3?dest-id=619174
How Justin Sun Has Allegedly Tried to Manipulate Markets and Escape Regulation,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.329_-_How_Justin_Sun_Has_Allegedly_Tried_to_Manipulate_Markets_and_Escape_Regulation.mp3?dest-id=619174
"The Chopping Block: In 'the First Crypto War,' How Should the Money Be Spent?",https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.328_-_The_Chopping_Block_--_In_the_First_Crypto_War_--_How_Should_the_Money_Be_Spent.mp3?dest-id=619174
Why Chatroulette Founder Andrey Ternovskiy Fell in Love With Crypto,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.327_-_Why_Chatroulette_Founder_Andrey_Ternovskiy_Fell_in_Love_With_Crypto.mp3?dest-id=619174
How Ukraine Is Leveraging Crypto in Its Fight Against Russia,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.326_-_How_Ukraine_Is_Leveraging_Crypto_in_Its_Fight_Against_Russia.mp3?dest-id=619174
Is Code Law? Should the Hacker Be Punished? The DAO Creators Disagree,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.325_-_Is_Code_Law_-_Should_the_Hacker_Be_Punished_-_The_DAO_Creators_Disagree.mp3?dest-id=619174
How Writing 'The Cryptopians' Shaped My Views on Ethereum,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.324_-_How_Writing_The_Cryptopians_Shaped_My_Views_on_Ethereum.mp3?dest-id=619174
The Chopping Block: Why Hacking The DAO Is ‘Something to Be Proud Of’?,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.323_-_The_Chopping_Block_-_Why_Hacking_The_DAO_Is_Something_to_Be_Proud_Of.mp3?dest-id=619174
Exclusive: Crypto’s Biggest Whodunnit: Who Was Behind the 2016 DAO Attack on Ethereum?,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.322_-_Exclusive_-_Cryptos_Biggest_Whodunnit_-_Who_Was_Behind_the_2016_DAO_Attack_on_Ethereum.mp3?dest-id=619174
Congressman Ro Khanna: How to Get More Democrats into Web3,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.321_-_Congressman_Ro_Khanna_-_How_to_Get_More_Democrats_into_Web3.mp3?dest-id=619174
"Your 2021 Crypto Taxes: How to Handle NFTs, DAOs, Airdrops and More",https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.320_-_Your_2021_Crypto_Taxes_-_How_to_Handle_NFTs_DAOs_Airdrops_and_More.mp3?dest-id=619174
How Law Enforcement Tracked Down $3.6 Billion in Bitcoin,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.319_-_How_Law_Enforcement_Tracked_Down_3.6_Billion_in_Bitcoin.mp3?dest-id=619174
"The Chopping Block: SBF on a Crazy Week of Bitfinex, Wormhole and ENS Drama",https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.318_-_The_Chopping_Block_-_SBF_on_a_Crazy_Week_of_Bitfinex_Wormhole_and_ENS_Drama.mp3?dest-id=619174
Will Every Piece of Media Enter the Internet as an NFT? Variant Fund Says Yes,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.317_-_Will_Every_Piece_of_Media_Enter_the_Internet_as_an_NFT_-_Variant_Fund_Says_Yes.mp3?dest-id=619174
Are Democrats Against Crypto? These Two Congressional Candidates Say No,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.316_-_Are_Democrats_Against_Crypto_-_These_Two_Congressional_Candidates_Say_No.mp3?dest-id=619174
"How NFT DAOs Could Shape the Next Blockbuster, Fund Poetry and Change VC",https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.315_-_How_NFT_DAOs_Could_Shape_the_Next_Blockbuster_Fund_Poetry_and_Change_VC.mp3?dest-id=619174
Can a Pro-Bitcoin Platform Help in a Congressional Race? Aarika Rhodes Says Yes,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.314_-_Can_a_Pro-Bitcoin_Platform_Help_in_a_Congressional_Race_-_Aarika_Rhodes_Says_Yes.mp3?dest-id=619174
The Chopping Block: Why the Lack of a Fee Market Created 'Bread Lines' on Solana,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.313_-_The_Chopping_Block_-_Why_the_Lack_of_a_Fee_Market_Created_Bread_Lines_on_Solana.mp3?dest-id=619174
SyndicateDAO Is Launching Web3 Investment Clubs. Could They Disrupt VCs?,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.312_-_SyndicateDAO_Is_Launching_Web3_Investment_Clubs._Could_They_Disrupt_VCs.mp3?dest-id=619174
Why a Coinbase Listing May Not Be a Good Thing for a Token,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.311_-_Why_a_Coinbase_Listing_May_Not_Be_a_Good_Thing_for_a_Token.mp3?dest-id=619174
Is Binance Smart Chain Being Run 'Like the Project of a Stoned Teenager?' Two BSC Execs Answer,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.310_-_Is_Binance_Smart_Chain_Being_Run_Like_the_Project_of_a_Stoned_Teenager_-_Two_BSC_Execs_Answer.mp3?dest-id=619174
Why Are NFTs the One Bright Spot in the Crypto Markets? - Ep.309,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.309_-_Why_Are_NFTs_the_One_Bright_Spot_in_the_Crypto_Markets.mp3?dest-id=619174
The Chopping Block: Why the Crypto Markets Have Been Down This Week,https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.308_-_The_Chopping_Block_-_Why_the_Crypto_Markets_Have_Been_Down_This_Week.mp3?dest-id=619174
"Can Crypto Be a Force in the Midterms? Yes, Say Kristin Smith and Jake Chervinsky",https://traffic.libsyn.com/secure/unchained/Unchained_-_Ep.307_-_Can_Crypto_Be_a_Force_in_the_Midterms_-_Yes_Say_Kristin_Smith_and_Jake_Chervinsky.mp3?dest-id=619174
e21 The Bitcoin Onion with Ruben Somsen,https://anchor.fm/s/1cacd908/podcast/play/32589456/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-05-01%2F59fd1269b8023a48db7392b5f5adee0a.m4a
e17 The Bitcoin Contracting Layer - RGB with Maxim Orlovsky,https://anchor.fm/s/1cacd908/podcast/play/26704870/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-02-14%2F5a38868db7c57ffc2caf38b6311c5a86.m4a
John Carvalho from Bitrefill - LNJ03,https://anchor.fm/s/ce6ee00/podcast/play/4788603/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fproduction%2F2019-8-23%2F24635289-44100-2-5b92cbc0dde41.mp3
#32: Ruben Somsen– “Spacechains- Blockchains for Bitcoin”,https://anchor.fm/s/5e3e1878/podcast/play/34889580/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-5-5%2F193752512-44100-2-c743271619f5c1bd.mp3
"Read_617 - Announcing Taro, Multi-Asset Bitcoin & Lightning [Ryan Gentry]",https://traffic.megaphone.fm/CSN1100459556.mp3?updated=1650332701